b/a 	?lpha1	beta1
1	0.0138	0.0513
1.05	0.01518432	0.055106007
1.1	0.01648672	0.05847071
1.15	0.01770672	0.061458857
1.2	0.01884432	0.06412816
1.25	0.0199	0.066529297
1.3	0.02087472	0.06870591
1.35	0.02176992	0.070694607
1.4	0.02258752	0.07252496
1.45	0.02332992	0.074219507
1.5	0.024	0.07579375
1.55	0.02460112	0.077256157
1.6	0.02513712	0.07860816
1.65	0.02561232	0.079844157
1.7	0.02603152	0.08095151
1.75	0.0264	0.081910547
1.8	0.02672352	0.08269456
1.85	0.02700832	0.083269807
1.9	0.02726112	0.08359551
1.95	0.02748912	0.083623857
2	0.0277	0.0833
3	0.0284	0.838
